Dataset,R2,RMSE,MAE
Train,0.9741817805419467,4.602406069145423,2.4160366605553367
Validation,0.9328655069039941,7.423301013605708,3.8963943042585614
Test,0.9303494579803543,7.519515088818074,3.930159992620606
