,R2,RMSE,MAE,MAPE
Random Forest,0.9692696159980755,5.028882123816191,2.1092403807478557,0.03308062447045023
LightGBM,0.8788022425076847,9.986993206827961,6.515405727308613,0.11029354210636122
CatBoost,0.890161072942838,9.507484002363686,6.102467999934334,0.10236849472989071
HistGB,0.8800763497983729,9.934359725560327,6.440357170568853,0.10830429047384545
XGBoost,0.8829433590702818,9.814891230286092,6.275907347008926,0.1057145938129389
